,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
0,Perlis,P.001 Padang Besar,1,Rushdan Bin Rusmi,RUSHDAN BIN RUSMI,44,male,bumiputera,PERIKATAN NASIONAL (PN),24267,1,won,1,PN,89.80184124,5.640269287,1.648547708,2.90934177
1,Perlis,P.002 Kangar,1,Zakri Bin Hassan,CIKGU ZAKRI,57,male,bumiputera,PERIKATAN NASIONAL (PN),24562,1,won,1,PN,87.33029377,9.576661014,1.518090151,1.574955067
2,Perlis,P.003 Arau,2,Shahidan Bin Kassim,SHAHIDAN BIN KASSIM,71,male,bumiputera,PERIKATAN NASIONAL (PN),31458,1,won,0,PN,89.41732185,6.576505182,2.338845905,1.667327063
3,Kedah,P.004 Langkawi,2,Mohd Suhaimi Bin Abdullah,MOHD SUHAIMI BIN ABDULLAH,46,male,bumiputera,PERIKATAN NASIONAL (PN),25463,1,won,1,PN,91.86024551,5.122479587,1.934122091,1.083152808
4,Kedah,P.005 Jerlun,1,Abd Ghani Bin Ahmad,DR. ABD GHANI AHMAD,52,male,bumiputera,PERIKATAN NASIONAL (PN),31685,1,won,1,PN,93.45941566,4.178451848,0.085617747,2.276514746
5,Kedah,P.006 Kubang Pasu,1,Ku Abd Rahman Bin Ku Ismail,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,70,male,bumiputera,PERIKATAN NASIONAL (PN),47584,1,won,1,PN,88.56110011,7.38735793,2.939805143,1.111736816
6,Kedah,P.007 Padang Terap,4,Nurul Amin Bin Hamid,USTAZ NURUL AMIN,39,male,bumiputera,PERIKATAN NASIONAL (PN),28217,1,won,1,PN,91.66453919,0.793017616,0.044677049,7.497766148
7,Kedah,P.008 Pokok Sena,2,Ahmad Bin Saad @ Yahaya,DATO' AHMAD YAHAYA,47,male,bumiputera,PERIKATAN NASIONAL (PN),52275,1,won,1,PN,85.15264438,12.1827055,2.150898092,0.513752027
8,Kedah,P.009 Alor Setar,2,Afnan Hamimi Bin Taib Azamudden,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,41,male,bumiputera,PERIKATAN NASIONAL (PN),37486,1,won,1,PN,68.52072479,28.1345022,3.000693494,0.344079521
9,Kedah,P.010 Kuala Kedah,4,Ahmad Fakhruddin Bin Fakhrurazi,DR. AHMAD FAKHRUDDIN,51,male,bumiputera,PERIKATAN NASIONAL (PN),56298,1,won,1,PN,75.58628338,22.93257965,1.150206608,0.330930362
10,Kedah,P.011 Pendang,1,Awang Bin Hashim,DATUK HAJI AWANG SOLAHUDIN,58,male,bumiputera,PERIKATAN NASIONAL (PN),49008,1,won,0,PN,90.80974028,2.906075874,0.423802732,5.860381115
11,Kedah,P.012 Jerai,3,Sabri Bin Azit,USTAZ SABRI BIN AZIT,56,male,bumiputera,PERIKATAN NASIONAL (PN),49461,1,won,0,PN,87.48194511,7.473920719,4.795377949,0.248756219
12,Kedah,P.013 Sik,3,Ahmad Tarmizi Bin Sulaiman,AHMAD TARMIZI SULAIMAN,46,male,bumiputera,PERIKATAN NASIONAL (PN),34606,1,won,0,PN,94.07706982,0.782907287,0.086989699,5.053033193
13,Kedah,P.014 Merbok,4,Mohd Nazri Bin Abu Hassan,MOHD NAZRI,52,male,bumiputera,PERIKATAN NASIONAL (PN),52573,1,won,1,PN,74.0518163,13.49254781,12.09340018,0.362235707
14,Kedah,P.015 Sungai Petani,1,Mohammed Taufiq Bin Johari,DR. TAUFIQ BIN DATO' JOHARI,26,male,bumiputera,PAKATAN HARAPAN (PH),50580,1,won,1,PH,69.18329073,19.31029571,11.03716775,0.469245804
15,Kedah,P.016 Baling,4,Hassan Bin Saad,USTAZ HASSAN,65,male,bumiputera,PERIKATAN NASIONAL (PN),64493,1,won,1,PN,92.12868878,3.018290065,3.232246615,1.620774537
16,Kedah,P.017 Padang Serai,4,Azman Bin Nasrudin,DATO' CIKGU AZMAN,50,male,bumiputera,PERIKATAN NASIONAL (PN),51637,1,won,1,PN,70.11459185,14.16065639,15.2044714,0.520280357
17,Kedah,P.018 Kulim-Bandar Baharu,2,Roslan Bin Hashim,CIKGU ROSLAN HASHIM,55,male,bumiputera,PERIKATAN NASIONAL (PN),34469,1,won,1,PN,73.82509124,14.4396589,11.50606265,0.229187207
18,Kelantan,P.019 Tumpat,2,Mumtaz Binti Md Nawi,DATO' KAK TAZ,50,female,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),65426,1,won,1,PN,92.46455242,4.124300432,0.098597783,3.312549369
19,Kelantan,P.020 Pengkalan Chepa,4,Ahmad Marzuk Bin Shaary,DATUK MARZUK,46,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),53933,1,won,0,PN,97.28848937,2.10454202,0.32141165,0.285556964
20,Kelantan,P.021 Kota Bharu,1,Takiyuddin Bin Hassan,DATUK SERI TAKIYUDDIN,61,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),41869,1,won,0,PN,92.72397255,6.605537605,0.291823466,0.378666375
21,Kelantan,P.022 Pasir Mas,2,Ahmad Fadhli Bin Shaari,USTAZ FADHLI SHAARI,42,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),44444,1,won,0,PN,98.50893221,1.287941954,0.007096099,0.196029733
