UNIQUECODE,STATE,PARLIAMENTARYCODE,PARLIAMENTARYNAME,TOTALELECTORS,MALAY,CHINESE,INDIANS,ORANGASLI,BUMIPUTERASABAH,BUMIPUTERASARAWAK,OTHERS,ELECTORSNORMALVOTERS,ELECTORSABSENTVOTERS,ELECTORSPOLICE,ELECTORSMILITARY,Q,R,S,T,U,V,W,X,ABOVE90,MALEELECTORS,WOMENELECTORS,URBANRURALCLASSIFICATION2022,parlimen,v1,state,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,_merge
P.001,PERLIS,P.001,Padang Besar,60192,86.01000000000001,8.140000000000001,.88,.33,.57,.01,4.06,96.34999999999999,.01,.76,2.88,5.92,21.35,24.86,16.09,12.74,10.78,6.04,1.87,.35,50.18,49.82,Semi Urban,P.001 Padang Besar,0,Perlis,1,Rushdan Bin Rusmi,RUSHDAN BIN RUSMI,44,male,bumiputera,PERIKATAN NASIONAL (PN),24267,1,won,1,PN,Matched (3)
P.002,PERLIS,P.002,Kangar,74859,81.58,14.73,1.57,.13,.08,0,1.9,98.63,.01,1.36,0,6.25,21.51,23.09,15.83,13.45,11.6,6.04,1.88,.35,49.54,50.46,Semi Urban,P.002 Kangar,1,Perlis,1,Zakri Bin Hassan,CIKGU ZAKRI,57,male,bumiputera,PERIKATAN NASIONAL (PN),24562,1,won,1,PN,Matched (3)
P.003,PERLIS,P.003,Arau,60876,87.23,7.81,1.59,.12,.09,.01,3.15,99.23999999999999,.01,.58,.17,5.98,20.31,21.9,16.91,15.12,11.39,5.95,2.11,.33,48.84,51.16,Semi Urban,P.003 Arau,2,Perlis,2,Shahidan Bin Kassim,SHAHIDAN BIN KASSIM,71,male,bumiputera,PERIKATAN NASIONAL (PN),31458,1,won,0,PN,Matched (3)
P.004,KEDAH,P.004,Langkawi,66777,89.65000000000001,6.75,2.38,.3,.17,0,.75,98.31,.01,1,.6899999999999999,8,25.93,22.76,17.59,13.22,8.039999999999999,3.28,1,.18,50.84,49.16,Semi Urban,P.004 Langkawi,3,Kedah,2,Mohd Suhaimi Bin Abdullah,MOHD SUHAIMI BIN ABDULLAH,46,male,bumiputera,PERIKATAN NASIONAL (PN),25463,1,won,1,PN,Matched (3)
P.005,KEDAH,P.005,Jerlun,67601,90.75,6.78,.11,.05,.04,0,2.27,99.95,0,.05,0,5.66,19.39,21.58,17.45,15.46,11.64,6.38,2.13,.31,49.27,50.73,Rural,P.005 Jerlun,4,Kedah,1,Abd Ghani Bin Ahmad,DR. ABD GHANI AHMAD,52,male,bumiputera,PERIKATAN NASIONAL (PN),31685,1,won,1,PN,Matched (3)
P.006,KEDAH,P.006,Kubang Pasu,108217,85.98999999999999,8.720000000000001,3.38,.18,.17,.01,1.54,97.61,.02,.58,1.79,7.42,24.46,23.05,15.79,12.68,10.05,4.87,1.47,.21,49.72,50.28,Semi Urban,P.006 Kubang Pasu,5,Kedah,1,Ku Abd Rahman Bin Ku Ismail,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,70,male,bumiputera,PERIKATAN NASIONAL (PN),47584,1,won,1,PN,Matched (3)
P.007,KEDAH,P.007,Padang Terap,59806,91.66,1.3,.14,.06,.04,0,6.81,99.65000000000001,0,.34,0,6.29,22.21,23.34,17.33,14.15,9.880000000000001,4.83,1.74,.24,49,51,Rural,P.007 Padang Terap,6,Kedah,4,Nurul Amin Bin Hamid,USTAZ NURUL AMIN,39,male,bumiputera,PERIKATAN NASIONAL (PN),28217,1,won,1,PN,Matched (3)
P.008,KEDAH,P.008,Pokok Sena,114838,81.31999999999999,15.24,2.48,.08,.09,.01,.79,97.98999999999999,.01,.73,1.27,5.71,21.32,23.05,16.89,13.7,11.05,5.94,2.03,.32,49.52,50.48,Semi Urban,P.008 Pokok Sena,7,Kedah,2,Ahmad Bin Saad @ Yahaya,DATO' AHMAD YAHAYA,47,male,bumiputera,PERIKATAN NASIONAL (PN),52275,1,won,1,PN,Matched (3)
P.009,KEDAH,P.009,Alor Setar,105994,63.18,31.76,4.26,.08,.06,.01,.65,99.31999999999999,.02,.66,0,5.12,19.28,21.83,16.63,14.08,13.06,7.19,2.23,.57,48.97,51.03,Urban,P.009 Alor Setar,8,Kedah,2,Afnan Hamimi Bin Taib Azamudden,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,41,male,bumiputera,PERIKATAN NASIONAL (PN),37486,1,won,1,PN,Matched (3)
P.010,KEDAH,P.010,Kuala Kedah,132500,75.95999999999999,22.25,1.18,.04,.05,0,.52,99.93000000000001,.01,.06,0,6.06,21.47,22.39,17.45,13.77,11.37,5.45,1.77,.27,49.1,50.9,Semi Urban,P.010 Kuala Kedah,9,Kedah,4,Ahmad Fakhruddin Bin Fakhrurazi,DR. AHMAD FAKHRUDDIN,51,male,bumiputera,PERIKATAN NASIONAL (PN),56298,1,won,1,PN,Matched (3)
P.011,KEDAH,P.011,Pendang,94547,88.47,4.75,.5,.04,.03,0,6.21,99.81,0,.18,0,6.11,20.81,21.93,17.7,14.84,10.69,5.55,2.07,.3,48.59,51.41,Rural,P.011 Pendang,10,Kedah,1,Awang Bin Hashim,DATUK HAJI AWANG SOLAHUDIN,58,male,bumiputera,PERIKATAN NASIONAL (PN),49008,1,won,0,PN,Matched (3)
P.012,KEDAH,P.012,Jerai,105001,80.43000000000001,13.03,6.01,.06,.05,.01,.42,99.73,.01,.21,.05,6.38,21.39,20.93,17.6,15.08,10.83,5.49,1.93,.38,49.22,50.78,Semi Urban,P.012 Jerai,11,Kedah,3,Sabri Bin Azit,USTAZ SABRI BIN AZIT,56,male,bumiputera,PERIKATAN NASIONAL (PN),49461,1,won,0,PN,Matched (3)
P.013,KEDAH,P.013,Sik,63126,92.5,1.46,.14,.08,.04,.01,5.76,99.73999999999999,0,.26,0,6.25,21.2,23.25,18.33,14.03,10.02,4.91,1.71,.3,49.35,50.65,Rural,P.013 Sik,12,Kedah,3,Ahmad Tarmizi Bin Sulaiman,AHMAD TARMIZI SULAIMAN,46,male,bumiputera,PERIKATAN NASIONAL (PN),34606,1,won,0,PN,Matched (3)
P.014,KEDAH,P.014,Merbok,132444,69.06,15.3,14.41,.2,.31,.01,.7,96.17,.01,.25,3.57,7.66,25.06,22.81,16.54,12.99,9.630000000000001,4.01,1.08,.22,49.68,50.32,Semi Urban,P.014 Merbok,13,Kedah,4,Mohd Nazri Bin Abu Hassan,MOHD NAZRI,52,male,bumiputera,PERIKATAN NASIONAL (PN),52573,1,won,1,PN,Matched (3)
P.015,KEDAH,P.015,Sungai Petani,168847,60.99,25.75,12.45,.09,.07,.01,.66,99.90000000000001,.01,.08,0,7.43,24.36,20.75,16.02,14.41,10.54,4.72,1.45,.32,48.96,51.04,Urban,P.015 Sungai Petani,14,Kedah,1,Mohammed Taufiq Bin Johari,DR. TAUFIQ BIN DATO' JOHARI,26,male,bumiputera,PAKATAN HARAPAN (PH),50580,1,won,1,PH,Matched (3)
P.016,KEDAH,P.016,Baling,132099,89.23999999999999,4.27,4.63,.08,.05,.14,1.58,99.77,.01,.22,0,6.27,22.07,22.59,17.44,14.55,10.15,4.81,1.77,.35,49.04,50.96,Rural,P.016 Baling,15,Kedah,4,Hassan Bin Saad,USTAZ HASSAN,65,male,bumiputera,PERIKATAN NASIONAL (PN),64493,1,won,1,PN,Matched (3)
P.017,KEDAH,P.017,Padang Serai,133867,62.18,17.75,19.36,.08,.08,0,.55,99.93000000000001,.01,.06,0,9,26.62,20.13,16.16,13.88,9.01,3.76,1.19,.25,48.99,51.01,Semi Urban,P.017 Padang Serai,16,Kedah,4,Azman Bin Nasrudin,DATO' CIKGU AZMAN,50,male,bumiputera,PERIKATAN NASIONAL (PN),51637,1,won,1,PN,Matched (3)
P.018,KEDAH,P.018,Kulim-Bandar Baharu,90141,69.73,17.19,12.53,.12,.08,0,.35,98.34,.01,1.65,0,6.19,21.96,22.02,17.07,14.65,10.82,5.14,1.79,.35,49.45,50.55,Semi Urban,P.018 Kulim-Bandar Baharu,17,Kedah,2,Roslan Bin Hashim,CIKGU ROSLAN HASHIM,55,male,bumiputera,PERIKATAN NASIONAL (PN),34469,1,won,1,PN,Matched (3)
P.019,KELANTAN,P.019,Tumpat,149371,92.28,3.64,.14,.04,.03,.01,3.86,99.72,.01,.27,0,6.97,23.31,23.66,16.73,13.31,9.539999999999999,4.56,1.47,.47,50.03,49.97,Semi Urban,P.019 Tumpat,18,Kelantan,2,Mumtaz Binti Md Nawi,DATO' KAK TAZ,50,female,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),65426,1,won,1,PN,Matched (3)
P.020,KELANTAN,P.020,Pengkalan Chepa,106982,96.95999999999999,1.85,.12,.1,.07,.01,.9,97.52,.02,1.1,1.36,7.76,25.88,25.62,16.45,11.77,7.9,3.51,.9,.22,49.63,50.37,Urban,P.020 Pengkalan Chepa,19,Kelantan,4,Ahmad Marzuk Bin Shaary,DATUK MARZUK,46,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),53933,1,won,0,PN,Matched (3)
