,parlimen,top_party,income_avg,median,min,max,q1,q3
0,P.001 Padang Besar,PN,4747,5558.5,3750,12840,4755.5,6685.0
1,P.002 Kangar,PN,5899,5558.5,3750,12840,4755.5,6685.0
2,P.003 Arau,PN,5411,5558.5,3750,12840,4755.5,6685.0
3,P.004 Langkawi,PN,6737,5558.5,3750,12840,4755.5,6685.0
4,P.005 Jerlun,PN,4919,5558.5,3750,12840,4755.5,6685.0
5,P.006 Kubang Pasu,PN,6673,5558.5,3750,12840,4755.5,6685.0
6,P.007 Padang Terap,PN,4781,5558.5,3750,12840,4755.5,6685.0
7,P.008 Pokok Sena,PN,5522,5558.5,3750,12840,4755.5,6685.0
8,P.009 Alor Setar,PN,5540,5558.5,3750,12840,4755.5,6685.0
9,P.010 Kuala Kedah,PN,5912,5558.5,3750,12840,4755.5,6685.0
10,P.011 Pendang,PN,4680,5558.5,3750,12840,4755.5,6685.0
11,P.012 Jerai,PN,4404,5558.5,3750,12840,4755.5,6685.0
12,P.013 Sik,PN,4960,5558.5,3750,12840,4755.5,6685.0
13,P.014 Merbok,PN,5967,5558.5,3750,12840,4755.5,6685.0
14,P.015 Sungai Petani,PH,5745,8010.0,4399,20521,6590.0,10530.5
15,P.016 Baling,PN,4313,5558.5,3750,12840,4755.5,6685.0
16,P.017 Padang Serai,PN,5293,5558.5,3750,12840,4755.5,6685.0
17,P.018 Kulim-Bandar Baharu,PN,5671,5558.5,3750,12840,4755.5,6685.0
18,P.019 Tumpat,PN,4838,5558.5,3750,12840,4755.5,6685.0
19,P.020 Pengkalan Chepa,PN,5353,5558.5,3750,12840,4755.5,6685.0
20,P.021 Kota Bharu,PN,5201,5558.5,3750,12840,4755.5,6685.0
21,P.022 Pasir Mas,PN,5617,5558.5,3750,12840,4755.5,6685.0
22,P.023 Rantau Panjang,PN,3864,5558.5,3750,12840,4755.5,6685.0
23,P.024 Kubang Kerian,PN,6219,5558.5,3750,12840,4755.5,6685.0
24,P.025 Bachok,PN,4728,5558.5,3750,12840,4755.5,6685.0
25,P.026 Ketereh,PN,5618,5558.5,3750,12840,4755.5,6685.0
26,P.027 Tanah Merah,PN,4487,5558.5,3750,12840,4755.5,6685.0
27,P.028 Pasir Puteh,PN,4688,5558.5,3750,12840,4755.5,6685.0
28,P.029 Machang,PN,4841,5558.5,3750,12840,4755.5,6685.0
29,P.030 Jeli,PN,3750,5558.5,3750,12840,4755.5,6685.0
30,P.031 Kuala Krai,PN,3979,5558.5,3750,12840,4755.5,6685.0
31,P.032 Gua Musang,PN,3918,5558.5,3750,12840,4755.5,6685.0
32,P.033 Besut,PN,6033,5558.5,3750,12840,4755.5,6685.0
33,P.034 Setiu,PN,5591,5558.5,3750,12840,4755.5,6685.0
34,P.035 Kuala Nerus,PN,7716,5558.5,3750,12840,4755.5,6685.0
35,P.036 Kuala Terengganu,PN,6689,5558.5,3750,12840,4755.5,6685.0
36,P.037 Marang,PN,6299,5558.5,3750,12840,4755.5,6685.0
37,P.038 Hulu Terengganu,PN,5577,5558.5,3750,12840,4755.5,6685.0
38,P.039 Dungun,PN,7553,5558.5,3750,12840,4755.5,6685.0
39,P.040 Kemaman,PN,7854,5558.5,3750,12840,4755.5,6685.0
40,P.041 Kepala Batas,PN,6739,5558.5,3750,12840,4755.5,6685.0
41,P.042 Tasek Gelugor,PN,6429,5558.5,3750,12840,4755.5,6685.0
42,P.043 Bagan,PH,7579,8010.0,4399,20521,6590.0,10530.5
43,P.044 Permatang Pauh,PN,6435,5558.5,3750,12840,4755.5,6685.0
44,P.045 Bukit Mertajam,PH,7901,8010.0,4399,20521,6590.0,10530.5
45,P.046 Batu Kawan,PH,7644,8010.0,4399,20521,6590.0,10530.5
46,P.047 Nibong Tebal,PH,6591,8010.0,4399,20521,6590.0,10530.5
47,P.048 Bukit Bendera,PH,9862,8010.0,4399,20521,6590.0,10530.5
48,P.049 Tanjong,PH,7807,8010.0,4399,20521,6590.0,10530.5
49,P.050 Jelutong,PH,7555,8010.0,4399,20521,6590.0,10530.5
50,P.051 Bukit Gelugor,PH,8013,8010.0,4399,20521,6590.0,10530.5
51,P.052 Bayan Baru,PH,9040,8010.0,4399,20521,6590.0,10530.5
52,P.053 Balik Pulau,PH,7975,8010.0,4399,20521,6590.0,10530.5
53,P.054 Gerik,PN,5138,5558.5,3750,12840,4755.5,6685.0
54,P.055 Lenggong,BN,3885,5638.0,3885,11921,5089.25,6422.0
55,P.056 Larut,PN,5173,5558.5,3750,12840,4755.5,6685.0
56,P.057 Parit Buntar,PN,5610,5558.5,3750,12840,4755.5,6685.0
57,P.058 Bagan Serai,PN,5507,5558.5,3750,12840,4755.5,6685.0
58,P.059 Bukit Gantang,PN,4607,5558.5,3750,12840,4755.5,6685.0
59,P.060 Taiping,PH,5916,8010.0,4399,20521,6590.0,10530.5
60,P.061 Padang Rengas,PN,6975,5558.5,3750,12840,4755.5,6685.0
61,P.062 Sungai Siput,PH,4399,8010.0,4399,20521,6590.0,10530.5
62,P.063 Tambun,PH,6170,8010.0,4399,20521,6590.0,10530.5
63,P.064 Ipoh Timor,PH,6177,8010.0,4399,20521,6590.0,10530.5
64,P.065 Ipoh Barat,PH,7860,8010.0,4399,20521,6590.0,10530.5
65,P.066 Batu Gajah,PH,4671,8010.0,4399,20521,6590.0,10530.5
66,P.067 Kuala Kangsar,PN,4819,5558.5,3750,12840,4755.5,6685.0
67,P.068 Beruas,PH,5592,8010.0,4399,20521,6590.0,10530.5
68,P.069 Parit,PN,6129,5558.5,3750,12840,4755.5,6685.0
69,P.070 Kampar,PH,4777,8010.0,4399,20521,6590.0,10530.5
70,P.071 Gopeng,PH,5851,8010.0,4399,20521,6590.0,10530.5
71,P.072 Tapah,BN,5468,5638.0,3885,11921,5089.25,6422.0
72,P.073 Pasir Salak,PN,3780,5558.5,3750,12840,4755.5,6685.0
73,P.074 Lumut,PN,6728,5558.5,3750,12840,4755.5,6685.0
74,P.075 Bagan Datuk,BN,5660,5638.0,3885,11921,5089.25,6422.0
75,P.076 Teluk Intan,PH,5059,8010.0,4399,20521,6590.0,10530.5
76,P.077 Tanjong Malim,PH,5686,8010.0,4399,20521,6590.0,10530.5
77,P.078 Cameron Highlands,BN,6329,5638.0,3885,11921,5089.25,6422.0
78,P.079 Lipis,BN,4467,5638.0,3885,11921,5089.25,6422.0
79,P.080 Raub,PH,4992,8010.0,4399,20521,6590.0,10530.5
80,P.081 Jerantut,PN,4436,5558.5,3750,12840,4755.5,6685.0
81,P.082 Indera Mahkota,PN,7693,5558.5,3750,12840,4755.5,6685.0
82,P.083 Kuantan,PN,6882,5558.5,3750,12840,4755.5,6685.0
83,P.084 Paya Besar,BN,6077,5638.0,3885,11921,5089.25,6422.0
