,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
0,Perlis,P.001 Padang Besar,1,Rushdan Bin Rusmi,RUSHDAN BIN RUSMI,44.0,male,bumiputera,PERIKATAN NASIONAL (PN),24267,1,won,1,PN,45288,53.583730789613135,89.80184124,4.1,5.7,Won
1,Perlis,P.001 Padang Besar,2,Ko Chu Liang,KO CHU LIANG,72.0,male,chinese,PARTI WARISAN SABAH (WARISAN),244,0,lost_deposit,0,Others,45288,0.5387740681858328,89.80184124,4.1,5.7,Lost
2,Perlis,P.001 Padang Besar,3,Zahidi Bin Zainul Abidin,ZAHIDI BIN ZAINUL ABIDIN,61.0,male,bumiputera,BEBAS (BEBAS),1939,0,lost_deposit,0,Others,45288,4.281487369722664,89.80184124,4.1,5.7,Lost
3,Perlis,P.001 Padang Besar,4,Zahida Binti Zarik Khan,ZAHIDA BINTI ZARIK KHAN,43.0,female,bumiputera,BARISAN NASIONAL (BN),11753,0,lost,0,BN,45288,25.95168698109875,89.80184124,4.1,5.7,Lost
4,Perlis,P.001 Padang Besar,5,Mohamad Bin Saad @ Yahaya,KAPT (B) HJ MOHAMAD YAHAYA,58.0,male,bumiputera,PAKATAN HARAPAN (PH),7085,0,lost,0,PH,45288,15.644320791379615,89.80184124,4.1,5.7,Lost
5,Perlis,P.002 Kangar,1,Zakri Bin Hassan,CIKGU ZAKRI,57.0,male,bumiputera,PERIKATAN NASIONAL (PN),24562,1,won,1,PN,56200,43.704626334519574,87.33029377,4.0,4.2,Won
6,Perlis,P.002 Kangar,2,Fathul Bari Bin Mat Jahya,DR FATHUL BARI,42.0,male,bumiputera,BARISAN NASIONAL (BN),15370,0,lost,0,BN,56200,27.348754448398576,87.33029377,4.0,4.2,Lost
7,Perlis,P.002 Kangar,3,Rohimi Bin Shapiee,PROF. DR. ROHIMI SHAPIEE,60.0,male,bumiputera,PARTI WARISAN SABAH (WARISAN),417,0,lost_deposit,0,Others,56200,0.7419928825622776,87.33029377,4.0,4.2,Lost
8,Perlis,P.002 Kangar,4,Noor Amin Bin Ahmad,AMIN AHMAD,40.0,male,bumiputera,PAKATAN HARAPAN (PH),15143,0,lost,0,PH,56200,26.94483985765125,87.33029377,4.0,4.2,Lost
9,Perlis,P.002 Kangar,5,Nur Sulaiman Bin Zolkapli,USTAZ NUR SULAIMAN,34.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),708,0,lost_deposit,0,Others,56200,1.2597864768683273,87.33029377,4.0,4.2,Lost
10,Perlis,P.003 Arau,1,Fathin Amelina Binti Fazlie,FATHIN AMELINA,27.0,female,bumiputera,PAKATAN HARAPAN (PH),7089,0,lost,0,PH,46789,15.150997029216267,89.41732185,4.7,1.4,Lost
11,Perlis,P.003 Arau,2,Shahidan Bin Kassim,SHAHIDAN BIN KASSIM,71.0,male,bumiputera,PERIKATAN NASIONAL (PN),31458,1,won,0,PN,46789,67.23375152279381,89.41732185,4.7,1.4,Won
12,Perlis,P.003 Arau,3,Rozabil @ Rozamujib Bin Abdul Rahman,ROZABIL @ TOK BEN,50.0,male,bumiputera,BARISAN NASIONAL (BN),8242,0,lost,0,BN,46789,17.615251447989912,89.41732185,4.7,1.4,Lost
13,Kedah,P.004 Langkawi,1,Abd Kadir Bin Sainudin,DATO PADUKA ABD KADIR,43.0,male,bumiputera,BEBAS (BEBAS),89,0,lost_deposit,0,Others,47480,0.18744734625105308,91.86024551,6.8,0.9,Lost
14,Kedah,P.004 Langkawi,2,Mohd Suhaimi Bin Abdullah,MOHD SUHAIMI BIN ABDULLAH,46.0,male,bumiputera,PERIKATAN NASIONAL (PN),25463,1,won,1,PN,47480,53.62889637742207,91.86024551,6.8,0.9,Won
15,Kedah,P.004 Langkawi,3,Mahathir Bin Mohamad,MAHATHIR BIN MOHAMAD,96.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),4566,0,lost_deposit,0,Others,47480,9.616680707666386,91.86024551,6.8,0.9,Lost
16,Kedah,P.004 Langkawi,4,Armishah Bin Siraj,DATO' ARMISHAH SIRAJ (DAS),58.0,male,bumiputera,BARISAN NASIONAL (BN),11945,0,lost,0,BN,47480,25.157961246840777,91.86024551,6.8,0.9,Lost
17,Kedah,P.004 Langkawi,5,Zabidi Bin Yahya,ZABIDI YAHYA,54.0,male,bumiputera,PAKATAN HARAPAN (PH),5417,0,lost_deposit,0,PH,47480,11.409014321819713,91.86024551,6.8,0.9,Lost
18,Kedah,P.005 Jerlun,1,Abd Ghani Bin Ahmad,DR. ABD GHANI AHMAD,52.0,male,bumiputera,PERIKATAN NASIONAL (PN),31685,1,won,1,PN,52207,60.69109506388032,93.45941566,3.6,6.7,Won
19,Kedah,P.005 Jerlun,2,Mukhriz Mahathir,DATO' SERI UTAMA MUKHRIZ MAHATHIR,58.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),3144,0,lost_deposit,0,Others,52207,6.02218093359128,93.45941566,3.6,6.7,Lost
