,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
0,Perlis,P.001 Padang Besar,1,Rushdan Bin Rusmi,RUSHDAN BIN RUSMI,44,male,bumiputera,PERIKATAN NASIONAL (PN),24267,1,won,1,PN,45288,53.58373079,89.80184124,4.1,5.7,Won
1,Perlis,P.001 Padang Besar,2,Ko Chu Liang,KO CHU LIANG,72,male,chinese,PARTI WARISAN SABAH (WARISAN),244,0,lost_deposit,0,Others,45288,0.538774068,89.80184124,4.1,5.7,Lost
2,Perlis,P.001 Padang Besar,3,Zahidi Bin Zainul Abidin,ZAHIDI BIN ZAINUL ABIDIN,61,male,bumiputera,BEBAS (BEBAS),1939,0,lost_deposit,0,Others,45288,4.28148737,89.80184124,4.1,5.7,Lost
3,Perlis,P.001 Padang Besar,4,Zahida Binti Zarik Khan,ZAHIDA BINTI ZARIK KHAN,43,female,bumiputera,BARISAN NASIONAL (BN),11753,0,lost,0,BN,45288,25.95168698,89.80184124,4.1,5.7,Lost
4,Perlis,P.001 Padang Besar,5,Mohamad Bin Saad @ Yahaya,KAPT (B) HJ MOHAMAD YAHAYA,58,male,bumiputera,PAKATAN HARAPAN (PH),7085,0,lost,0,PH,45288,15.64432079,89.80184124,4.1,5.7,Lost
5,Perlis,P.002 Kangar,1,Zakri Bin Hassan,CIKGU ZAKRI,57,male,bumiputera,PERIKATAN NASIONAL (PN),24562,1,won,1,PN,56200,43.70462633,87.33029377,4,4.2,Won
6,Perlis,P.002 Kangar,2,Fathul Bari Bin Mat Jahya,DR FATHUL BARI,42,male,bumiputera,BARISAN NASIONAL (BN),15370,0,lost,0,BN,56200,27.34875445,87.33029377,4,4.2,Lost
7,Perlis,P.002 Kangar,3,Rohimi Bin Shapiee,PROF. DR. ROHIMI SHAPIEE,60,male,bumiputera,PARTI WARISAN SABAH (WARISAN),417,0,lost_deposit,0,Others,56200,0.741992883,87.33029377,4,4.2,Lost
8,Perlis,P.002 Kangar,4,Noor Amin Bin Ahmad,AMIN AHMAD,40,male,bumiputera,PAKATAN HARAPAN (PH),15143,0,lost,0,PH,56200,26.94483986,87.33029377,4,4.2,Lost
9,Perlis,P.002 Kangar,5,Nur Sulaiman Bin Zolkapli,USTAZ NUR SULAIMAN,34,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),708,0,lost_deposit,0,Others,56200,1.259786477,87.33029377,4,4.2,Lost
