Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total_billion,World_GDP_billions,%_GDP
12/31/1984,34936772393,2769874900,37706647293,1984,37.71,12001.655,0.314206666
12/31/1985,35194787249,2470247948,37665035197,1985,37.67,12531.04,0.300613517
12/31/1986,33334905644,2013169931,35348075575,1986,35.35,14776.085,0.239237931
12/31/1987,28751979125,1866342930,30618322055,1987,30.62,17013.016,0.179979846
12/31/1988,24750004884,1773964293,26523969177,1988,26.52,19131.406,0.138620235
12/31/1989,22315104224,2334886562,24649990786,1989,24.65,20127.802,0.122467421
12/31/1990,20731851093,2571911617,23303762710,1990,23.3,23663.342,0.098464536
12/31/1991,23378573926,3285717796,26664291722,1991,26.66,24504.027,0.108798444
12/31/1992,23967172718,3804463796,27771636514,1992,27.77,25339.142,0.109593292
12/31/1993,25196745031,3942792899,29139537930,1993,29.14,26051.093,0.111857111
12/31/1994,25611676952,4599768498,30211445450,1994,30.21,27998.304,0.107899393
12/31/1995,35929173412,5657438528,41586611940,1995,41.59,31211.513,0.133252111
12/31/1996,36127472805,5881609752,42009082557,1996,42.01,32079.199,0.130957135
12/31/1997,46559033783,6009867422,52568901205,1997,52.57,31990.92,0.164327878
12/31/1998,60451017051,6288825925,66739842976,1998,66.74,31835.015,0.209643375
12/31/1999,51061861875,6434274362,57496136237,1999,57.5,32960.333,0.174452121
12/31/2000,42990531049,6331595468,49322126517,2000,49.32,34053.083,0.144832701
12/31/2001,53477225409,6424578684,59901804093,2001,59.9,33801.014,0.177213619
12/31/2002,63601058794,6868671012,70469729806,2002,70.47,34915.511,0.201830069
12/31/2003,65032062712,6880893268,71912955980,2003,71.91,39210.202,0.183396148
12/31/2004,55373766674,6766029353,62139796027,2004,62.14,44134.371,0.140797294
12/31/2005,28432143237,6282121668,34714264905,2005,34.71,47811.372,0.072597791
12/31/2006,9822640239,3844020520,13666660759,2006,13.67,51783.269,0.026398488
12/31/2007,6036146757,3796945581,9833092338,2007,9.83,58461.908,0.016814367
12/31/2008,17514964723,3972372030,21487336753,2008,21.49,64162.47,0.0334931
12/31/2009,37221142436,5079705286,42300847722,2009,42.3,60782.123,0.069592831
12/31/2010,55620104510,4819344134,60439448644,2010,60.44,66484.526,0.090908372
12/31/2011,87276915790,5308609594,92585525384,2011,92.59,73773.48,0.125505805
12/31/2012,90042348252,5766292503,95808640755,2012,95.81,75196.673,0.127412552
12/31/2013,83899249061,6174392682,90073641743,2013,90.07,77365.52,0.116421372
12/31/2014,69041563463,6292755583,75334319046,2014,75.33,79429.015,0.094839398
12/31/2015,50757840741,6575911158,57333751899,2015,57.33,74944.46,0.076496648
12/31/2016,49267630851,6482647937,55750278788,2016,55.75,76211.252,0.073151928
12/31/2017,39585385873,6522280669,46107666542,2017,46.11,81036.151,0.056900531
12/31/2018,55395611392,6426181029,61821792421,2018,61.82,86209.627,0.071708929
12/31/2019,66945509865,6590835450,73536345315,2019,73.54,87654.342,0.083897726
12/31/2020,93408630285,12481816684,1.06E+11,2020,105.89,85440.667,0.123933958
12/31/2021,89474552025,14554823681,1.04E+11,2021,104.03,97076.276,0.107163155
,,,,,,,
,,,,,,,
,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,
,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,
