,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
4,Perlis,P.001 Padang Besar,5,Mohamad Bin Saad @ Yahaya,KAPT (B) HJ MOHAMAD YAHAYA,58,male,bumiputera,PAKATAN HARAPAN (PH),7085,0,lost,0,PH,45288,15.64432079,89.80184124,4.1,5.7,Lost
8,Perlis,P.002 Kangar,4,Noor Amin Bin Ahmad,AMIN AHMAD,40,male,bumiputera,PAKATAN HARAPAN (PH),15143,0,lost,0,PH,56200,26.94483986,87.33029377,4,4.2,Lost
10,Perlis,P.003 Arau,1,Fathin Amelina Binti Fazlie,FATHIN AMELINA,27,female,bumiputera,PAKATAN HARAPAN (PH),7089,0,lost,0,PH,46789,15.15099703,89.41732185,4.7,1.4,Lost
17,Kedah,P.004 Langkawi,5,Zabidi Bin Yahya,ZABIDI YAHYA,54,male,bumiputera,PAKATAN HARAPAN (PH),5417,0,lost_deposit,0,PH,47480,11.40901432,91.86024551,6.8,0.9,Lost
20,Kedah,P.005 Jerlun,3,Mohamed Fadzil Bin Mohd Ali,DR. MOHAMED FADZIL MOHD ALI,48,male,bumiputera,PAKATAN HARAPAN (PH),6149,0,lost_deposit,0,PH,52207,11.77811405,93.45941566,3.6,6.7,Lost
23,Kedah,P.006 Kubang Pasu,2,Mohd Aizuddin Bin Ariffin,AIZUDDIN ARIFFIN,35,male,bumiputera,PAKATAN HARAPAN (PH),16000,0,lost,0,PH,83402,19.18419223,88.56110011,4,4.3,Lost
28,Kedah,P.007 Padang Terap,3,Muaz Bin Abdullah,MUAZ ABDULLAH,25,male,bumiputera,PAKATAN HARAPAN (PH),2702,0,lost_deposit,0,PH,48629,5.556355261,91.66453919,4.2,9.1,Lost
33,Kedah,P.008 Pokok Sena,4,Mahfuz Bin Omar,DATO' WIRA HJ MAHFUZ OMAR,53,male,bumiputera,PAKATAN HARAPAN (PH),20524,0,lost,0,PH,87944,23.33757846,85.15264438,4.6,6.8,Lost
37,Kedah,P.009 Alor Setar,4,Ooi Tze Min,SIMON OOI TZE MIN,38,male,chinese,PAKATAN HARAPAN (PH),27555,0,lost,0,PH,76986,35.79222196,68.52072479,5.5,4.9,Lost
41,Kedah,P.010 Kuala Kedah,1,Azman Bin Ismail,DR AZMAN ISMAIL,61,male,bumiputera,PAKATAN HARAPAN (PH),28237,0,lost,0,PH,100475,28.10350834,75.58628338,5.2,7.3,Lost
47,Kedah,P.011 Pendang,2,Zulkifly Bin Mohamad,DATO ZUL,52,male,bumiputera,PAKATAN HARAPAN (PH),8058,0,lost_deposit,0,PH,75594,10.65957616,90.80974028,4.9,8.1,Lost
50,Kedah,P.012 Jerai,1,Zulhazmi Bin Shariff,ZULHAZMI BIN SHARIFF,46,male,bumiputera,PAKATAN HARAPAN (PH),15590,0,lost,0,PH,82293,18.94450318,87.48194511,2.9,14.9,Lost
55,Kedah,P.013 Sik,2,Latifah Binti Md Yatim,DATO' LATIFAH,65,female,bumiputera,PAKATAN HARAPAN (PH),3736,0,lost_deposit,0,PH,51161,7.302437403,94.07706982,2.8,7.6,Lost
59,Kedah,P.014 Merbok,3,Nor Azrina Binti Surip,NURIN AINA,47,female,bumiputera,PAKATAN HARAPAN (PH),31554,0,lost,0,PH,102544,30.77118115,74.0518163,4.2,11.1,Lost
62,Kedah,P.015 Sungai Petani,1,Mohammed Taufiq Bin Johari,DR. TAUFIQ BIN DATO' JOHARI,26,male,bumiputera,PAKATAN HARAPAN (PH),50580,1,won,1,PH,130004,38.90649518,69.18329073,3.6,9.2,Won
67,Kedah,P.016 Baling,1,Johari Bin Abdullah,CIKGU JOHARI ABDULLAH,,male,bumiputera,PAKATAN HARAPAN (PH),8636,0,lost_deposit,0,PH,109064,7.918286511,92.12868878,3.6,17.9,Lost
72,Kedah,P.017 Padang Serai,2,Mohamad Sofee Razak,MOHAMAD SOFEE RAZAK,49,male,bumiputera,PAKATAN HARAPAN (PH),35377,0,lost,0,PH,91416,38.69891485,70.11459185,3.9,9.5,Lost
77,Kedah,P.018 Kulim-Bandar Baharu,1,Saifuddin Nasution Bin Ismail,DATUK SERI SAIFUDDIN NASUTION ISMAIL,58,male,bumiputera,PAKATAN HARAPAN (PH),21408,0,lost,0,PH,70340,30.43502985,73.82509124,3.5,9.8,Lost
84,Kelantan,P.019 Tumpat,4,Wan Mohd Johari Bin Wan Omar,HAJI WAN JO,57,male,bumiputera,PAKATAN HARAPAN (PH),7762,0,lost_deposit,0,PH,104659,7.416466811,92.46455242,3.3,12.5,Lost
87,Kelantan,P.020 Pengkalan Chepa,2,Nik Faizah Binti Nik Othman,KAK JAH,48,female,bumiputera,PAKATAN HARAPAN (PH),7356,0,lost_deposit,0,PH,77761,9.45975489,97.28848937,5,8.6,Lost
92,Kelantan,P.021 Kota Bharu,2,Hafidzah Binti Haji Mustakim,DR HAFIDZAH,58,female,bumiputera,PAKATAN HARAPAN (PH),19256,0,lost,0,PH,78019,24.68116741,92.72397255,5.7,7.4,Lost
97,Kelantan,P.022 Pasir Mas,1,Husam Bin Musa,DATUK HUSAM,63,male,bumiputera,PAKATAN HARAPAN (PH),6439,0,lost_deposit,0,PH,65153,9.882891041,98.50893221,4.6,10,Lost
105,Kelantan,P.023 Rantau Panjang,5,Wan Shah Jihan Bin Wan Din,DR SHAH,51,male,bumiputera,PAKATAN HARAPAN (PH),4256,0,lost_deposit,0,PH,60527,7.031572687,97.82389719,5,16.2,Lost
106,Kelantan,P.024 Kubang Kerian,1,Wan Ahmad Kamil Bin Wan Abdullah,DR.WAN AHMAD KAMIL,64,male,bumiputera,PAKATAN HARAPAN (PH),10236,0,lost,0,PH,81384,12.57741079,97.49864765,5.2,10.1,Lost
111,Kelantan,P.025 Bachok,2,Nor Azmiza Binti Mamat,NOR AZMIZA MAMAT,38,female,bumiputera,PAKATAN HARAPAN (PH),4366,0,lost_deposit,0,PH,89417,4.882740418,98.78947031,3.6,13.1,Lost
115,Kelantan,P.026 Ketereh,1,Rahimi Bin L.Muhamud,HAJI RAHIMI,53,male,bumiputera,PAKATAN HARAPAN (PH),4662,0,lost_deposit,0,PH,62862,7.416245108,97.70039668,5.2,11.2,Lost
120,Kelantan,P.027 Tanah Merah,2,Mohamad Suparadi Bin Md Noor,DATO' D,62,male,bumiputera,PAKATAN HARAPAN (PH),5357,0,lost_deposit,0,PH,69686,7.687340355,95.39564715,2.8,10.6,Lost
126,Kelantan,P.028 Pasir Puteh,3,Muhammad Bin Husain,USTAZ MUHAMMAD HUSAIN,70,male,bumiputera,PAKATAN HARAPAN (PH),3864,0,lost_deposit,0,PH,80978,4.771666379,98.87597991,3.2,12.7,Lost
131,Kelantan,P.029 Machang,4,Rosli Allani Bin S. Abdull Kadir,DR ROSLI,48,male,bumiputera,PAKATAN HARAPAN (PH),3934,0,lost_deposit,0,PH,65114,6.04171146,98.00016437,5.3,7.1,Lost
135,Kelantan,P.030 Jeli,4,Md Radzi Bin Wahab,MD RADZI,,male,bumiputera,PAKATAN HARAPAN (PH),1140,0,lost_deposit,0,PH,42953,2.654063744,99.37335049,3.1,18.9,Lost
139,Kelantan,P.031 Kuala Krai,4,Mohd Hisyamuddin Bin Ghazali,SYAM GHAZ,30,male,bumiputera,PAKATAN HARAPAN (PH),4148,0,lost_deposit,0,PH,64681,6.413011549,95.43923757,2.8,22.4,Lost
143,Kelantan,P.032 Gua Musang,4,Asharun Bin Uji,ABE YO,48,male,bumiputera,PAKATAN HARAPAN (PH),4517,0,lost_deposit,0,PH,48377,9.337081671,93.75685601,4.2,18.7,Lost
146,Terengganu,P.033 Besut,3,Abd Rahman @ Abdul Aziz Bin Hj Abas,USTAZ AZIZ,60,male,bumiputera,PAKATAN HARAPAN (PH),4339,0,lost_deposit,0,PH,85364,5.082938944,98.60539461,4.1,9.5,Lost
150,Terengganu,P.034 Setiu,3,Mohamad Bin Ngah,MOHAMAD BIN NGAH,59,male,bumiputera,PAKATAN HARAPAN (PH),2125,0,lost_deposit,0,PH,84832,2.504950962,99.61630975,4.2,9.3,Lost
155,Terengganu,P.035 Kuala Nerus,4,Suhaimi Bin Hashim,DATO' SERI SUHAIMI HASHIM,59,male,bumiputera,PAKATAN HARAPAN (PH),3708,0,lost_deposit,0,PH,87628,4.23152417,97.90357278,5,3.8,Lost
158,Terengganu,P.036 Kuala Terengganu,3,Raja Kamarul Bahrin Shah,DATO' RAJA BAHRIN,67,male,bumiputera,PAKATAN HARAPAN (PH),10946,0,lost_deposit,0,PH,96552,11.33689618,94.6444884,5,3.3,Lost
163,Terengganu,P.037 Marang,4,Azhar Bin Ab Shukur,USTAZ AZHAR,57,male,bumiputera,PAKATAN HARAPAN (PH),4140,0,lost_deposit,0,PH,109068,3.795797117,98.50406423,3.2,7.5,Lost
167,Terengganu,P.038 Hulu Terengganu,4,Alias Bin Ismail,CIKGU ALIAS ISMAIL,54,male,bumiputera,PAKATAN HARAPAN (PH),1740,0,lost_deposit,0,PH,72008,2.416398178,99.49331633,4.2,7.8,Lost
170,Terengganu,P.039 Dungun,3,Mohasdjone @ Mohd Johari Bin Mohamad,DATO' DR MOHD JOHARI,51,male,bumiputera,PAKATAN HARAPAN (PH),5307,0,lost_deposit,0,PH,91269,5.814679683,97.53775893,3.9,5.2,Lost
176,Terengganu,P.040 Kemaman,4,Hasuni Bin Sudin,HASUNI BIN SUDIN,60,male,bumiputera,PAKATAN HARAPAN (PH),8340,0,lost_deposit,0,PH,113095,7.374331314,95.72013773,3.7,4.6,Lost
182,Pulau Pinang,P.042 Tasek Gelugor,2,Nik Abdul Razak Bin Nik Md Ridzuan,RAZAK RIDZUAN,35,male,bumiputera,PAKATAN HARAPAN (PH),16547,0,lost,0,PH,67112,24.65579926,78.19072981,3.7,4.1,Lost
187,Pulau Pinang,P.043 Bagan,2,Lim Guan Eng,LIM GUAN ENG,61,male,chinese,PAKATAN HARAPAN (PH),55797,1,won,0,PH,68654,81.27275905,21.6346477,3.6,3.4,Won
193,Pulau Pinang,P.044 Permatang Pauh,4,Nurul Izzah Binti Anwar,NURUL IZZAH ANWAR,42,female,bumiputera,PAKATAN HARAPAN (PH),32366,0,lost,0,PH,87448,37.01170982,78.4329123,4.7,6.1,Lost
194,Pulau Pinang,P.045 Bukit Mertajam,1,Sim Chee Keong,STEVEN SIM CHEE KEONG,40,male,chinese,PAKATAN HARAPAN (PH),71722,1,won,0,PH,92745,77.33247075,27.8717288,2.4,1.3,Won
198,Pulau Pinang,P.046 Batu Kawan,2,Chow Kon Yeow,CHOW KON YEOW,64,male,chinese,PAKATAN HARAPAN (PH),50744,1,won,0,PH,68831,73.72259592,34.18714963,3.7,0.6,Won
