,year,Inflation Rate,Dates
0,1989 Q1,5.8,1989-01-01
1,1989 Q2,5.8,1989-04-01
2,1989 Q3,5.6,1989-07-01
3,1989 Q4,5.7,1989-10-01
4,1990 Q1,6.1,1990-01-01
5,1990 Q2,8.0,1990-04-01
6,1990 Q3,8.8,1990-07-01
7,1990 Q4,9.2,1990-10-01
8,1991 Q1,8.4,1991-01-01
9,1991 Q2,7.7,1991-04-01
10,1991 Q3,7.3,1991-07-01
11,1991 Q4,6.5,1991-10-01
12,1992 Q1,6.3,1992-01-01
13,1992 Q2,5.0,1992-04-01
14,1992 Q3,4.0,1992-07-01
15,1992 Q4,3.3,1992-10-01
16,1993 Q1,3.1,1993-01-01
17,1993 Q2,2.3,1993-04-01
18,1993 Q3,2.5,1993-07-01
19,1993 Q4,2.2,1993-10-01
20,1994 Q1,2.4,1994-01-01
21,1994 Q2,2.4,1994-04-01
22,1994 Q3,2.1,1994-07-01
23,1994 Q4,2.1,1994-10-01
24,1995 Q1,2.4,1995-01-01
25,1995 Q2,2.5,1995-04-01
26,1995 Q3,2.9,1995-07-01
27,1995 Q4,3.0,1995-10-01
28,1996 Q1,3.0,1996-01-01
29,1996 Q2,2.8,1996-04-01
30,1996 Q3,2.7,1996-07-01
31,1996 Q4,2.9,1996-10-01
32,1997 Q1,2.4,1997-01-01
33,1997 Q2,2.1,1997-04-01
34,1997 Q3,2.3,1997-07-01
35,1997 Q4,2.1,1997-10-01
36,1998 Q1,1.8,1998-01-01
37,1998 Q2,2.0,1998-04-01
38,1998 Q3,1.7,1998-07-01
39,1998 Q4,1.7,1998-10-01
40,1999 Q1,2.0,1999-01-01
41,1999 Q2,1.8,1999-04-01
42,1999 Q3,1.6,1999-07-01
43,1999 Q4,1.5,1999-10-01
44,2000 Q1,1.1,2000-01-01
45,2000 Q2,1.0,2000-04-01
46,2000 Q3,1.2,2000-07-01
47,2000 Q4,1.4,2000-10-01
48,2001 Q1,1.3,2001-01-01
49,2001 Q2,1.8,2001-04-01
50,2001 Q3,1.8,2001-07-01
51,2001 Q4,1.4,2001-10-01
52,2002 Q1,1.7,2002-01-01
53,2002 Q2,1.3,2002-04-01
54,2002 Q3,1.3,2002-07-01
55,2002 Q4,1.6,2002-10-01
56,2003 Q1,1.5,2003-01-01
57,2003 Q2,1.3,2003-04-01
58,2003 Q3,1.4,2003-07-01
59,2003 Q4,1.3,2003-10-01
60,2004 Q1,1.3,2004-01-01
61,2004 Q2,1.3,2004-04-01
62,2004 Q3,1.3,2004-07-01
63,2004 Q4,1.5,2004-10-01
64,2005 Q1,1.8,2005-01-01
65,2005 Q2,1.9,2005-04-01
66,2005 Q3,2.4,2005-07-01
67,2005 Q4,2.2,2005-10-01
68,2006 Q1,2.1,2006-01-01
69,2006 Q2,2.4,2006-04-01
70,2006 Q3,2.5,2006-07-01
71,2006 Q4,2.7,2006-10-01
72,2007 Q1,2.8,2007-01-01
73,2007 Q2,2.6,2007-04-01
74,2007 Q3,2.0,2007-07-01
75,2007 Q4,2.3,2007-10-01
76,2008 Q1,2.5,2008-01-01
77,2008 Q2,3.3,2008-04-01
78,2008 Q3,4.5,2008-07-01
79,2008 Q4,3.7,2008-10-01
80,2009 Q1,2.9,2009-01-01
81,2009 Q2,2.0,2009-04-01
82,2009 Q3,1.4,2009-07-01
83,2009 Q4,1.6,2009-10-01
84,2010 Q1,2.4,2010-01-01
85,2010 Q2,2.5,2010-04-01
86,2010 Q3,2.3,2010-07-01
87,2010 Q4,2.7,2010-10-01
88,2011 Q1,3.5,2011-01-01
89,2011 Q2,3.8,2011-04-01
90,2011 Q3,4.0,2011-07-01
91,2011 Q4,4.0,2011-10-01
92,2012 Q1,3.1,2012-01-01
93,2012 Q2,2.5,2012-04-01
94,2012 Q3,2.2,2012-07-01
95,2012 Q4,2.4,2012-10-01
96,2013 Q1,2.5,2013-01-01
97,2013 Q2,2.4,2013-04-01
98,2013 Q3,2.4,2013-07-01
99,2013 Q4,1.9,2013-10-01
100,2014 Q1,1.6,2014-01-01
101,2014 Q2,1.6,2014-04-01
102,2014 Q3,1.5,2014-07-01
103,2014 Q4,1.1,2014-10-01
104,2015 Q1,0.4,2015-01-01
105,2015 Q2,0.3,2015-04-01
106,2015 Q3,0.4,2015-07-01
107,2015 Q4,0.4,2015-10-01
108,2016 Q1,0.7,2016-01-01
109,2016 Q2,0.7,2016-04-01
110,2016 Q3,1.0,2016-07-01
111,2016 Q4,1.5,2016-10-01
112,2017 Q1,2.2,2017-01-01
113,2017 Q2,2.6,2017-04-01
114,2017 Q3,2.7,2017-07-01
115,2017 Q4,2.8,2017-10-01
116,2018 Q1,2.5,2018-01-01
117,2018 Q2,2.2,2018-04-01
118,2018 Q3,2.3,2018-07-01
119,2018 Q4,2.1,2018-10-01
120,2019 Q1,1.8,2019-01-01
121,2019 Q2,2.0,2019-04-01
122,2019 Q3,1.8,2019-07-01
123,2019 Q4,1.4,2019-10-01
124,2020 Q1,1.7,2020-01-01
125,2020 Q2,0.8,2020-04-01
126,2020 Q3,0.8,2020-07-01
127,2020 Q4,0.8,2020-10-01
128,2021 Q1,0.9,2021-01-01
129,2021 Q2,2.1,2021-04-01
130,2021 Q3,2.7,2021-07-01
131,2021 Q4,4.4,2021-10-01
132,2022 Q1,5.5,2022-01-01
133,2022 Q2,7.9,2022-04-01
134,2022 Q3,8.7,2022-07-01
